관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20180101,속초,4.2,-3.2,1,2.6,-9,-9,21.3,7.4
20180101,북춘천,4.2,-12.5,-5.1,0.9,-9,-9,58.6,16.7
20180101,철원,2.1,-13.1,-5.6,0.9,-9,-9,57.8,15.2
20180101,동두천,4.6,-9.5,-3.1,1.1,-9,-9,47.3,14.1
20180101,파주,2.8,-12.4,-5.6,0.7,-9,-9,62.8,15.2
20180101,대관령,-3,-11.8,-6.6,5.1,-9,-9,39.3,8.8
20180101,춘천,3.4,-10.5,-4.5,1,-9,-9,63.5,13.9
20180101,백령도,5.4,0.4,2.2,3.1,-9,-9,41.8,5
20180101,북강릉,5,-3.6,0.7,2.6,-9,-9,26.8,8.6
20180101,강릉,5.7,-2.1,1.3,3.7,-9,-9,19.8,7.8
20180101,동해,6.4,-0.2,2.6,3.4,-9,-9,20.3,6.6
20180101,서울,3.8,-5.1,-1.3,1.4,-9,-9,39.1,8.9
20180101,인천,2.7,-2.7,-0.3,1.6,-9,-9,45.9,5.4
20180101,원주,2.9,-8,-2.7,0.6,-9,-9,52.1,10.9
20180101,울릉도,3.1,0.9,1.7,2.7,0,-9,48,2.2
20180101,수원,4.7,-6.9,-1.7,1,-9,-9,56.5,11.6
20180101,영월,3.3,-9.6,-2.7,1.1,-9,-9,49,12.9
20180101,충주,3.1,-9.4,-4.1,1.2,-9,-9,57.8,12.5
20180101,서산,4,-7,-2.2,0.7,-9,-9,76,11
20180101,울진,7,-2.5,1.6,2.8,-9,-9,24.9,9.5
20180101,청주,4.7,-4.3,-0.2,1.1,-9,-9,50.6,9
20180101,대전,4.9,-5.3,-0.7,1,-9,-9,60,10.2
20180101,추풍령,3.3,-3.4,-0.5,4.2,-9,-9,38.9,6.7
20180101,안동,4.7,-6.5,-1,2.2,-9,-9,39.4,11.2
20180101,상주,4.9,-3.9,0.5,2.4,-9,-9,34.6,8.8
20180101,포항,6.2,-1.1,2,2.7,-9,-9,34.4,7.3
20180101,군산,5.3,-3.9,0.4,1,-9,-9,70.8,9.2
20180101,대구,5,-1.3,1.3,3.1,-9,-9,36.1,6.3
20180101,전주,5.2,-2.7,1,1.2,-9,-9,58.9,7.9
20180101,울산,6.2,-0.4,2.1,3.3,-9,-9,32,6.6
20180101,창원,5.5,-1.9,1.8,1.8,-9,-9,34.1,7.4
20180101,광주,7.1,-1,2.3,1.6,-9,-9,52.6,8.1
20180101,부산,7.4,-1.1,2.7,2.7,-9,-9,32,8.5
20180101,통영,8.2,0.1,3.3,2.6,-9,-9,46.8,8.1
20180101,목포,6.1,0.1,2.5,2.2,-9,-9,72.8,6
20180101,여수,7.2,-0.2,3.3,4.5,-9,-9,45,7.4
20180101,흑산도,7.2,2.6,4.6,5.7,-9,-9,55.4,4.6
20180101,완도,7.3,0.4,3.6,1.9,0,-9,59.8,6.9
20180101,고창,5.9,-3.2,0.9,1.6,-9,-9,71.4,9.1
20180101,순천,5.5,-4.3,0.2,2.2,-9,-9,55.1,9.8
20180101,고산,5.4,-1.4,0.6,3.4,-9,-9,60.6,6.8
20180101,홍성,4.7,-6.4,-1.3,0.9,-9,-9,79.1,11.1
20180101,제주,8.8,4,6.4,3.5,-9,-9,53.4,4.8
20180101,고산(제주),8.6,3.7,6.1,7.8,-9,-9,58.4,4.9
20180101,성산,8.3,1.2,4.8,2.4,-9,-9,55,7.1
20180101,서귀포,10,3.9,6.1,1.5,-9,-9,58.9,6.1
20180101,진주,7.7,-5.5,0.9,1.5,-9,-9,47.9,13.2
20180101,강화,3.9,-7.3,-2.7,1,-9,-9,56.3,11.2
20180101,양평,3.8,-8.6,-2.5,1.2,-9,-9,54.9,12.4
20180101,이천,4.9,-9.5,-2,1.2,-9,-9,47.1,14.4
20180101,인제,2.4,-11.8,-5.9,0.9,-9,-9,54.4,14.2
20180101,홍천,3.4,-12.5,-6,0.6,-9,-9,64.4,15.9
20180101,태백,-0.9,-8.5,-4.9,1.5,-9,-9,32.9,7.6
20180101,정선군,1.7,-9.7,-4.3,1.9,-9,-9,42.4,11.4
20180101,제천,2.2,-12.3,-5.8,1.4,-9,-9,59,14.5
20180101,보은,4.1,-9.2,-3,1.1,-9,-9,62.9,13.3
20180101,천안,3.8,-8.5,-2.8,0.9,-9,-9,66.1,12.3
20180101,보령,5.3,-3.3,-0.3,0.7,-9,-9,69.9,8.6
20180101,부여,4.8,-6.9,-2.1,0.4,-9,-9,74.9,11.7
20180101,금산,4.2,-8.3,-2.9,0.7,-9,-9,65.9,12.5
20180101,부안,6.5,-3.8,0.4,0.7,-9,-9,65.5,10.3
20180101,임실,5.2,-6.9,-1.9,1,-9,-9,64.9,12.1
20180101,정읍,5,-3.7,0.2,0.8,-9,-9,63.6,8.7
20180101,남원,5.8,-6,-0.9,1.4,-9,-9,56.6,11.8
20180101,장수,3.1,-7.6,-2.7,1.6,-9,-9,66.3,10.7
20180101,고창군,5.3,-4.4,0,1,-9,-9,60.8,9.7
